index,voxRowNum,Structure-ID,X,Y,Z,Cluster_4,Cluster_6,Cluster_8,Cluster_13,Actb-74881516
375,67999,136,61,30,24,0,0,0,0,0.15245253
376,68000,1107,62,30,24,0,0,0,0,0.15102851
377,68001,1107,63,30,24,0,0,0,0,0.15440938
378,68002,1107,64,30,24,0,0,0,0,0.15186594
379,68060,136,55,31,24,3,1,5,12,0.12905855
380,68061,136,56,31,24,3,3,3,3,0.11009345
381,68062,136,57,31,24,1,5,1,1,0.13673729
382,68063,1048,58,31,24,0,0,0,0,0.15335754
383,68064,1048,59,31,24,0,0,4,10,0.16097453
384,68065,1048,60,31,24,1,5,6,6,0.1474227
385,68066,1048,61,31,24,1,5,6,6,0.14597498
386,68067,1107,62,31,24,1,5,6,6,0.14699663
387,68068,1107,63,31,24,1,5,6,6,0.14824425
388,68069,1107,64,31,24,1,5,6,6,0.14833097
389,68126,136,54,32,24,1,5,6,9,0.14233547
390,68127,136,55,32,24,3,1,1,12,0.13213065
391,68128,136,56,32,24,3,3,5,3,0.11632405
392,68129,136,57,32,24,1,5,6,6,0.14577465
393,68130,1048,58,32,24,0,0,0,0,0.15399195
394,68131,1048,59,32,24,1,0,0,0,0.1503442
395,68132,1048,60,32,24,3,1,1,12,0.13269089
396,68133,1048,61,32,24,1,5,6,9,0.14326975
397,68134,1107,62,32,24,0,0,0,0,0.15301174
398,68135,1107,63,32,24,0,0,0,0,0.15497926
399,68136,1107,64,32,24,1,5,6,6,0.14494655
400,68193,661,54,33,24,1,5,6,9,0.13989559
401,68194,136,55,33,24,3,1,1,12,0.13122281
402,68195,1048,56,33,24,3,1,5,12,0.12785237
403,68196,1048,57,33,24,1,5,6,6,0.14721504
404,68197,1048,58,33,24,1,5,6,6,0.14592603
405,68198,1048,59,33,24,1,5,6,9,0.14200148
406,68200,1048,61,33,24,1,5,6,6,0.14462635
407,68201,1107,62,33,24,0,0,4,10,0.16084227
408,68202,1107,63,33,24,0,4,4,4,0.1642903
409,68203,1107,64,33,24,3,1,5,5,0.1232863
410,68260,661,54,34,24,1,5,1,1,0.13812888
411,68261,661,55,34,24,1,1,1,1,0.13372758
412,68262,978,56,34,24,3,1,5,12,0.12651293
413,68263,1048,57,34,24,1,5,1,1,0.13698108
414,68264,1048,58,34,24,1,5,6,9,0.14153983
415,68265,1048,59,34,24,1,0,0,6,0.14936842
416,68268,1107,62,34,24,2,4,7,4,0.16831754
417,68269,1107,63,34,24,1,1,1,1,0.13506061
418,68327,661,54,35,24,1,5,6,6,0.14832744
419,68328,661,55,35,24,1,5,6,6,0.14512844
420,68329,978,56,35,24,3,1,5,12,0.12736733
421,68330,978,57,35,24,3,1,5,12,0.1268149
422,68331,978,58,35,24,1,5,6,6,0.14738262
423,68332,307,59,35,24,0,4,4,4,0.16490775
